number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.49417745724659273,2026-07-24 16:39:46.988534,2026-07-24 16:39:48.744855,0 days 00:00:01.756321,0.6624074561769746,0.07259248719561363,10,287,2.467983561008608,0.8394633936788146,COMPLETE
1,0.5276235037662341,2026-07-24 16:39:48.745749,2026-07-24 16:39:50.085576,0 days 00:00:01.339827,0.608233797718321,0.05092911283433821,9,129,4.909729556485983,0.8832290311184181,COMPLETE
2,0.5473592217447654,2026-07-24 16:39:50.086532,2026-07-24 16:39:50.764018,0 days 00:00:00.677486,0.7216968971838151,0.016362239850894633,4,517,3.5742692948967134,0.6733618039413735,COMPLETE
3,0.5525641316634352,2026-07-24 16:39:50.764956,2026-07-24 16:39:51.553486,0 days 00:00:00.788530,0.7168578594140873,0.05243180891902853,5,316,3.099085529881075,0.6557975442608167,COMPLETE
4,0.4446965881892943,2026-07-24 16:39:51.554279,2026-07-24 16:39:53.803149,0 days 00:00:02.248870,0.836965827544817,0.017172542103877867,9,328,2.139351238159993,0.8056937753654446,COMPLETE
5,0.536196874393381,2026-07-24 16:39:53.804027,2026-07-24 16:39:55.124586,0 days 00:00:01.320559,0.9862528132298237,0.011926324174062874,4,404,4.425192044349384,0.9795542149013333,COMPLETE
6,0.5465244441247464,2026-07-24 16:39:55.125395,2026-07-24 16:39:55.685987,0 days 00:00:00.560592,0.6488152939379115,0.06378528225249058,3,252,3.4855307303338106,0.7760609974958406,COMPLETE
7,0.5476094890388279,2026-07-24 16:39:55.686641,2026-07-24 16:39:58.523595,0 days 00:00:02.836954,0.7246844304357644,0.020153425505297702,10,117,3.5602040635334324,0.8650089137415928,COMPLETE
8,0.5354623802625906,2026-07-24 16:39:58.524393,2026-07-24 16:39:58.975011,0 days 00:00:00.450618,0.9757995766256756,0.13814017620274424,4,373,4.684482051282947,0.9100531293444458,COMPLETE
9,0.5161273547464574,2026-07-24 16:39:58.975652,2026-07-24 16:40:01.545521,0 days 00:00:02.569869,0.6180909155642152,0.012707942999213693,10,399,2.975990992289793,0.6783931449676581,COMPLETE
10,0.5464968670868185,2026-07-24 16:40:01.546276,2026-07-24 16:40:02.574513,0 days 00:00:01.028237,0.8607466203112714,0.03203999390196693,7,577,4.199595033213562,0.6071847502459279,COMPLETE
11,0.5525894946470781,2026-07-24 16:40:02.575502,2026-07-24 16:40:03.454998,0 days 00:00:00.879496,0.7577990966793822,0.03212762430878716,6,107,3.364313933984169,0.7392679457934307,COMPLETE
12,0.5527291937892524,2026-07-24 16:40:03.455813,2026-07-24 16:40:04.350443,0 days 00:00:00.894630,0.7815343585324473,0.035077813915822986,6,212,3.012576129304697,0.7273145000499233,COMPLETE
13,0.5470180428793944,2026-07-24 16:40:04.351212,2026-07-24 16:40:05.302352,0 days 00:00:00.951140,0.8101383468058979,0.030240596812168494,6,204,2.8234549198474426,0.7382774980993067,COMPLETE
14,0.5494118275235543,2026-07-24 16:40:05.303192,2026-07-24 16:40:06.465120,0 days 00:00:01.161928,0.771021049221758,0.030061046366540004,7,213,3.9825671758768593,0.7371197153065265,COMPLETE
15,0.5234404565577165,2026-07-24 16:40:06.465832,2026-07-24 16:40:07.446348,0 days 00:00:00.980516,0.919197947631607,0.0392854369703887,7,167,2.586605812199586,0.7322318671941304,COMPLETE
16,0.5481775503021932,2026-07-24 16:40:07.447140,2026-07-24 16:40:08.028374,0 days 00:00:00.581234,0.7810641628320903,0.09579135219572962,6,106,3.285956528506657,0.7941252755357423,COMPLETE
17,0.47951075809105154,2026-07-24 16:40:08.029125,2026-07-24 16:40:09.303371,0 days 00:00:01.274246,0.886807619434659,0.02384235173010945,6,179,2.031620500041566,0.6973916191172266,COMPLETE
18,0.548711181985658,2026-07-24 16:40:09.304061,2026-07-24 16:40:10.679458,0 days 00:00:01.375397,0.7498826272841485,0.04208239148277853,8,248,3.8601850008883507,0.7601256168861884,COMPLETE
19,0.538356214663462,2026-07-24 16:40:10.680363,2026-07-24 16:40:11.537667,0 days 00:00:00.857304,0.8036366773816868,0.023132306297354834,5,147,2.637891088790923,0.6038621924983253,COMPLETE
