# comentario unicamente para diferenciar los archivos: tabla_comparativa del notebook xgboost-gwo-mfo.ipynb


,pr_auc,roc_auc,f1,recall,accuracy,tp,fp,tn,fn,Geo-Mean,Δ PR-AUC (%)
XGBoost Base,0.5403589187228913,0.7677379439777419,0.5289928789420142,0.587792012057272,0.7685,780.0,842.0,3831.0,547.0,0.5346456958371741,0.0
GWO (15 Iter),0.5475916553802195,0.7742342411496336,0.539804469273743,0.5825169555388093,0.7803333333333333,773.0,764.0,3909.0,554.0,0.5436841205251904,1.338506020113872
GWO (30 Iter),0.55148111341103,0.7751856896977958,0.5338053097345132,0.5681989449886963,0.7805,754.0,744.0,3929.0,573.0,0.542571236389388,2.058297606047743
Híbrido (8+7),0.5541047811552141,0.7755211962578723,0.5405596882748849,0.5749811605124341,0.7838333333333334,763.0,733.0,3940.0,564.0,0.5472903322486941,2.5438392809006283
Híbrido (21+9),0.5506967408548128,0.7773299967054079,0.5433935529578463,0.5779954785229842,0.7851666666666667,767.0,729.0,3944.0,560.0,0.5470329593501685,1.913139910109063
