,pr_auc,roc_auc,f1,recall,accuracy,tp,fp,tn,fn,Geo-Mean,Δ PR-AUC (%)
XGBoost Base,0.5458691220800764,0.7687486564820819,0.5306539509536785,0.5870384325546345,0.7703333333333333,779.0,830.0,3843.0,548.0,0.5382077724591205,0.0
GWO (15 Iter),0.5466628604558743,0.7697686415782048,0.5282753775904461,0.5666917859834213,0.7761666666666667,752.0,768.0,3905.0,575.0,0.5373904809558877,0.14540818370039066
GWO (30 Iter),0.5517015329861406,0.7756040851652884,0.5415061295971979,0.5825169555388093,0.7818333333333334,773.0,755.0,3918.0,554.0,0.5465800598450018,1.0684632396570137
Híbrido (8+7),0.5392757189709769,0.7707417799280156,0.5378330373001776,0.5704596834966089,0.7831666666666667,757.0,731.0,3942.0,570.0,0.5385538950526656,-1.207872517861941
Híbrido (21+9),0.5346041470098153,0.7646948406170483,0.5219941348973607,0.5365486058779201,0.7826666666666666,712.0,689.0,3984.0,615.0,0.528261515947291,-2.063676917158286
